station_id,station_name,city,country,latitude,longitude,elevation_m,install_date,pooled_first_timestamp,pooled_last_timestamp,pooled_rows,pooled_present_hours
IALWAH18,Roaya-Awjila,Awjila,Libya,29.124472,21.285446,16,8/25/2025,8/25/2025 22:00,3/31/2026 23:00,5234,4770
I90583612,Roaya-Al-Uwaynah,Al-Uwaynah,Libya,31.976779,12.482434,202,10/7/2025,10/7/2025 18:00,3/31/2026 23:00,3726,605
IBARAS3,Roaya-Gharyan,Gharyan,Libya,32.143264,13.018256,216,10/6/2025,10/6/2025 20:00,3/31/2026 23:00,4228,3666
IBIRAL3,Roaya-Ber Alghanam,Bir al Ghanam,Libya,32.318991,12.574238,41,10/5/2025,10/5/2025 22:00,3/31/2026 23:00,4250,3667
IDERNA7,Roaya-Derna,Derna,Libya,32.766357,22.641455,3,6/15/2025,6/15/2025 15:00,3/31/2026 23:00,6711,3337
IJABAL13,Roaya-Yafran,Yafran,Libya,32.101958,12.551183,640,10/5/2025,10/4/2025 23:00,3/31/2026 23:00,4273,3808
IJABAL14,Roaya-Zintan,Zintan,Libya,31.92421,12.264878,654,10/5/2025,10/5/2025 16:00,3/31/2026 23:00,4256,3830
IJABAL15,Roaya-Mizdah,Mizdah,Libya,31.461729,12.983949,144,10/5/2025,10/5/2025 16:00,3/31/2026 23:00,4256,3825
IJABAL16,Roaya-Al-Asabaa,Al-Asabaa,Libya,32.081197,12.888562,815,10/6/2025,10/6/2025 21:00,3/31/2026 23:00,4227,3502
IJANZO2,Roaya-Ganzour,Ganzour,Libya,32.820177,12.991854,5,10/9/2025,10/9/2025 12:00,3/31/2026 23:00,4164,3756
IJANZO3,Roaya-Maya,Maya,Libya,32.784235,12.857167,8,10/8/2025,10/8/2025 19:00,3/31/2026 23:00,4181,3718
IJANZO4,Roaya-Qasr Bin Ghashir,Qasr Bin Ghashir,Libya,32.690144,13.201313,21,10/9/2025,10/9/2025 13:00,3/31/2026 23:00,4163,675
IMISRA12,Roaya-Tawergha,Tawergha,Libya,31.971379,15.091041,8,10/16/2025,10/16/2025 16:00,3/31/2026 23:00,3992,3498
IMISRA13,Roaya-Zliten,Zliten,Libya,32.348137,14.574401,45,10/4/2025,10/4/2025 13:00,3/31/2026 23:00,4283,3699
IMURQU5,Roaya-Tarhuna,Tarhuna,Libya,32.294368,13.623417,487,10/5/2025,10/5/2025 15:00,3/31/2026 23:00,4257,2964
IMURQU6,Roaya-Khoms,Khoms,Libya,32.65723,14.242337,12,10/6/2025,10/5/2025 23:00,3/31/2026 23:00,3871,2138
IMURQU7,Roaya-Msallata,Msallata,Libya,32.464557,14.077052,56,10/7/2025,10/7/2025 20:00,3/31/2026 23:00,4204,3565
INALUT3,Roaya-Tiji,Tiji,Libya,32.00446,11.381656,64,10/8/2025,10/8/2025 22:00,3/31/2026 23:00,4178,2616
INUQAT10,Roaya-Al-Ajaylat,Al-Ajaylat,Libya,32.771523,12.320158,2,10/12/2025,10/12/2025 16:00,3/31/2026 23:00,4088,3409
INUQAT8,Roaya-Ragdalin,Ragdalin,Libya,32.897844,11.967586,4,10/9/2025,10/9/2025 10:00,3/31/2026 23:00,4166,3875
INUQAT9,Roaya-Sabratha,Sabratha,Libya,32.736552,12.452316,3,10/10/2025,10/10/2025 6:00,3/31/2026 23:00,4146,3461
ITAHLI1,Roaya-Al-Aziziyah,Al-Aziziyah,Libya,32.503011,13.037324,36,10/8/2025,10/8/2025 7:00,3/31/2026 23:00,4193,3694
ITRIPO32,Roaya-Tajura,Tajura,Libya,32.881396,13.387467,8,10/9/2025,10/9/2025 17:00,3/31/2026 23:00,3797,1778
ITRIPO33,Roaya-Tripoli,Tripoli,Libya,32.881258,13.160197,10,10/11/2025,10/11/2025 20:00,3/31/2026 23:00,4108,3382
IZAWIY5,Roaya-Surman,Surman,Libya,32.752357,12.582403,2,10/5/2025,10/5/2025 22:00,3/31/2026 23:00,4250,3685
IZAWIY7,Roaya-Al-Zawiyah,Al-Zawiyah,Libya,32.756648,12.798849,11,10/7/2025,10/7/2025 9:00,3/31/2026 23:00,4215,3725
